x,y
-100.00,-1200.00
-99.99,-1199.88
-99.98,-1199.76
-99.97,-1199.64
-99.96,-1199.52
-99.95,-1199.40
-99.94,-1199.28
-99.93,-1199.16
-99.92,-1199.04
-99.91,-1198.92
-99.90,-1198.80
-99.89,-1198.68
-99.88,-1198.56
-99.87,-1198.44
-99.86,-1198.32
-99.85,-1198.20
-99.84,-1198.08
-99.83,-1197.96
-99.82,-1197.84
-99.81,-1197.72
-99.80,-1197.60
-99.79,-1197.48
-99.78,-1197.36
-99.77,-1197.24
-99.76,-1197.12
-99.75,-1197.00
-99.74,-1196.88
-99.73,-1196.76
-99.72,-1196.64
-99.71,-1196.52
-99.70,-1196.40
-99.69,-1196.28
-99.68,-1196.16
-99.67,-1196.04
-99.66,-1195.92
-99.65,-1195.80
-99.64,-1195.68
-99.63,-1195.56
-99.62,-1195.44
-99.61,-1195.32
-99.60,-1195.20
-99.59,-1195.08
-99.58,-1194.96
-99.57,-1194.84
-99.56,-1194.72
-99.55,-1194.60
-99.54,-1194.48
-99.53,-1194.36
-99.52,-1194.24
-99.51,-1194.12
-99.50,-1194.00
-99.49,-1193.88
-99.48,-1193.76
-99.47,-1193.64
-99.46,-1193.52
-99.45,-1193.40
-99.44,-1193.28
-99.43,-1193.16
-99.42,-1193.04
-99.41,-1192.92
-99.40,-1192.80
-99.39,-1192.68
-99.38,-1192.56
-99.37,-1192.44
-99.36,-1192.32
-99.35,-1192.20
-99.34,-1192.08
-99.33,-1191.96
-99.32,-1191.84
-99.31,-1191.72
-99.30,-1191.60
-99.29,-1191.48
-99.28,-1191.36
-99.27,-1191.24
-99.26,-1191.12
-99.25,-1191.00
-99.24,-1190.88
-99.23,-1190.76
-99.22,-1190.64
-99.21,-1190.52
-99.20,-1190.40
-99.19,-1190.28
-99.18,-1190.16
-99.17,-1190.04
-99.16,-1189.92
-99.15,-1189.80
-99.14,-1189.68
-99.13,-1189.56
-99.12,-1189.44
-99.11,-1189.32
-99.10,-1189.20
-99.09,-1189.08
-99.08,-1188.96
-99.07,-1188.84
-99.06,-1188.72
-99.05,-1188.60
-99.04,-1188.48
-99.03,-1188.36
-99.02,-1188.24
-99.01,-1188.12
-99.00,-1188.00
-98.99,-1187.88
-98.98,-1187.76
-98.97,-1187.64
-98.96,-1187.52
-98.95,-1187.40
-98.94,-1187.28
-98.93,-1187.16
-98.92,-1187.04
-98.91,-1186.92
-98.90,-1186.80
-98.89,-1186.68
-98.88,-1186.56
-98.87,-1186.44
-98.86,-1186.32
-98.85,-1186.20
-98.84,-1186.08
-98.83,-1185.96
-98.82,-1185.84
-98.81,-1185.72
-98.80,-1185.60
-98.79,-1185.48
-98.78,-1185.36
-98.77,-1185.24
-98.76,-1185.12
-98.75,-1185.00
-98.74,-1184.88
-98.73,-1184.76
-98.72,-1184.64
-98.71,-1184.52
-98.70,-1184.40
-98.69,-1184.28
-98.68,-1184.16
-98.67,-1184.04
-98.66,-1183.92
-98.65,-1183.80
-98.64,-1183.68
-98.63,-1183.56
-98.62,-1183.44
-98.61,-1183.32
-98.60,-1183.20
-98.59,-1183.08
-98.58,-1182.96
-98.57,-1182.84
-98.56,-1182.72
-98.55,-1182.60
-98.54,-1182.48
-98.53,-1182.36
-98.52,-1182.24
-98.51,-1182.12
-98.50,-1182.00
-98.49,-1181.88
-98.48,-1181.76
-98.47,-1181.64
-98.46,-1181.52
-98.45,-1181.40
-98.44,-1181.28
-98.43,-1181.16
-98.42,-1181.04
-98.41,-1180.92
-98.40,-1180.80
-98.39,-1180.68
-98.38,-1180.56
-98.37,-1180.44
-98.36,-1180.32
-98.35,-1180.20
-98.34,-1180.08
-98.33,-1179.96
-98.32,-1179.84
